school,dist.n,schoolyr,did_absence_rate_all,did_absence_rate_ill
Community United Elementary School,1,2014-15,-0.011812767717436425,-1.381925492653993e-4
Community United Elementary School,1,2015-16,-0.01801326008513518,-0.006492173625010568
Community United Elementary School,1,2016-17,-0.014916535859996784,-0.011335497732128337
Coronado Elementary,0,2014-15,0.018802749016537154,0.011375787316214896
Coronado Elementary,0,2015-16,0.004071307618429082,0.002759465366559608
Coronado Elementary,0,2016-17,0.01652851939012244,0.005314290971942196
Crocker Highlands Elementary,1,2014-15,0.01881182805482416,0.011753132976890481
Crocker Highlands Elementary,1,2015-16,0.008312356921880603,0.0021700763343995635
Crocker Highlands Elementary,1,2016-17,0.013300216998017412,0.012142465917712082
Dover Elementary,0,2014-15,0.022286336515246863,0.007312153303076146
Dover Elementary,0,2015-16,-0.0054865719639298205,-9.945559620995713e-4
Dover Elementary,0,2016-17,0.010897443680594851,-0.0013020789066616814
Downer Elementary,0,2014-15,-0.0019721058343187756,-0.003148799704123295
Downer Elementary,0,2015-16,0.007662112925375268,-0.004898380921385118
Downer Elementary,0,2016-17,0.017455259253423665,0.003551292656346426
East Oakland PRIDE Elementary,1,2014-15,3.517781277076054e-4,0.0021230172296783645
East Oakland PRIDE Elementary,1,2015-16,8.698335657596548e-4,3.611247252817279e-4
East Oakland PRIDE Elementary,1,2016-17,0.027300083954375345,0.02296045296591572
Ellerhorst Elementary,0,2014-15,0.02110057666859004,0.03407907511894437
Ellerhorst Elementary,0,2015-16,-0.011559712346573145,0.010676998785785725
Ellerhorst Elementary,0,2016-17,0.011926789239925274,0.028380423724908458
Emerson Elementary,1,2014-15,0.032343802523290784,0.017803118900907605
Emerson Elementary,1,2015-16,-0.003369757246613883,-0.008464742960588016
Emerson Elementary,1,2016-17,0.025588616436199745,0.020094081201756778
EnCompass Academy,1,2014-15,0.01960066961563619,0.008379064533652617
EnCompass Academy,1,2015-16,0.007345423715530479,0.004274024914594308
EnCompass Academy,1,2016-17,0.00989146267424644,0.010677596388968213
Esperanza Elementary,1,2014-15,0.016348365051951357,0.0023310720998239477
Esperanza Elementary,1,2015-16,-3.0088225863479645e-4,-0.0029022414081648976
Esperanza Elementary,1,2016-17,0.011330813947264179,0.004964676364648528
Fairmont Elementary,0,2014-15,-0.001316048538357116,-0.0067505079660394075
Fairmont Elementary,0,2015-16,-0.0058230698070277295,-0.005162592398908289
Fairmont Elementary,0,2016-17,0.016540695231896545,-0.0016240219813569781
Ford Elementary,0,2014-15,0.013107933687991992,0.017030731630710037
Ford Elementary,0,2015-16,0.005565768952976301,0.006647763226016758
Ford Elementary,0,2016-17,0.015958289982528802,0.013705315953750418
Franklin Elementary,1,2014-15,0.027087910785381596,0.022454624739389355
Franklin Elementary,1,2015-16,0.009231074732670142,0.007729511964898251
Franklin Elementary,1,2016-17,0.02799870439020927,0.01419380458920961
Fred T. Korematsu Discovery Academy,1,2014-15,-0.029093300951224442,-0.025791843756324637
Fred T. Korematsu Discovery Academy,1,2015-16,-0.020385244682433433,-0.014244013089394623
Fred T. Korematsu Discovery Academy,1,2016-17,0.029334234091029518,-0.02702604249456897
Fruitvale Elementary,1,2014-15,0.06341279619152423,0.013984745364002085
Fruitvale Elementary,1,2015-16,0.009223895516474089,-0.017877027256655364
Fruitvale Elementary,1,2016-17,0.008833687870262362,-0.011565247435476086
Futures Elementary,1,2014-15,0.014052658269124066,0.016076705209974673
Futures Elementary,1,2015-16,-0.010611745982989605,-0.006298472578527871
Futures Elementary,1,2016-17,0.03439037689725204,0.02423500942987844
Garfield Elementary,1,2014-15,-0.005778557861891194,0.006365316781983448
Garfield Elementary,1,2015-16,-0.012321845655178985,-0.002593750212797832
Garfield Elementary,1,2016-17,-0.004628020443105597,0.0048571686041272415
Glenview Elementary,1,2014-15,0.027461879718027764,0.020506202292535646
Glenview Elementary,1,2015-16,0.01622090455048155,0.010722150749815407
Glenview Elementary,1,2016-17,0.028305270366190648,0.022109230793611868
Global Family School,1,2014-15,0.008287428081772553,0.0066575390982009895
Global Family School,1,2015-16,-0.005573179927372586,0.0021130603987757866
Global Family School,1,2016-17,0.010159592303613005,0.012684389632564345
Grant Elementary,0,2014-15,0.005489910207218257,0.0022917717780263566
Grant Elementary,0,2015-16,-0.004114461583965161,-1.033812360963747e-4
Grant Elementary,0,2016-17,0.029924219668557607,0.024024853888998554
Grass Valley Elementary,1,2014-15,0.0017328700869286492,0.016364889394361634
Grass Valley Elementary,1,2015-16,-0.01253945448796534,-0.0035173895597923888
Grass Valley Elementary,1,2016-17,0.018861498421596186,0.031108471621690913
Hanna Ranch Elementary,0,2014-15,0.0015991711338348563,0.010381495721852867
Hanna Ranch Elementary,0,2015-16,-0.010653344283237526,-0.004878701183913661
Hanna Ranch Elementary,0,2016-17,0.010628706998813763,0.016510187704975227
Harding Elementary,0,2014-15,-0.0034333278460869643,0.006230557208764399
Harding Elementary,0,2015-16,0.005577129125558175,0.0061035655227513405
Harding Elementary,0,2016-17,0.027687655579130256,0.02785806171375111
Highland Elementary,0,2014-15,-0.007035740454286406,0.0103812857879454
Highland Elementary,0,2015-16,-0.012437016032282686,-4.146217326498683e-4
Highland Elementary,0,2016-17,-0.0025313556549241972,0.00257279965099793
Hoover Elementary,1,2014-15,-0.010589432750903668,0.006142914932209358
Hoover Elementary,1,2015-16,0.0036754278834744553,0.03707551701983573
Hoover Elementary,1,2016-17,0.003562665068275045,0.032597823440163334
Horace Mann Elementary,1,2014-15,0.012918717145527017,0.021100433729909145
Horace Mann Elementary,1,2015-16,0.017673519976669577,0.00896106736657918
Horace Mann Elementary,1,2016-17,0.011911948394322969,0.02172299775768072
Howard Elementary,1,2014-15,0.021947788494941396,-0.01912449017227995
Howard Elementary,1,2015-16,0.018736596620003633,-0.0035489649308182367
Howard Elementary,1,2016-17,0.031054439419774142,0.013728717226381991
International Community School,1,2014-15,0.01423826684950008,0.005737891305995606
International Community School,1,2015-16,-6.453679427710426e-4,-0.015294271173169779
International Community School,1,2016-17,0.018790593607514866,-0.01743127731501288
Joaquin Miller Elementary,1,2014-15,-0.00512779404007075,-0.016469450449425417
Joaquin Miller Elementary,1,2015-16,-0.02366053367656422,-0.03554660890776115
Joaquin Miller Elementary,1,2016-17,-0.010295622168116636,-0.016287642949076045
Kaiser Elementary,1,2014-15,0.019390019788935446,0.01436514637799742
Kaiser Elementary,1,2015-16,0.016425930866267764,0.019044715336494746
Kaiser Elementary,1,2016-17,0.01976450117263069,0.016469246814443353
Kensington Elementary,0,2014-15,0.018491164464709314,0.02093297553175489
Kensington Elementary,0,2015-16,0.01234737361503611,0.012610535444608918
