school,dist.n,schoolyr,absences_all,absences_ill,student_days,absence_rate_all,absence_rate_ill
Harding Elementary,0,2011-12,22,11,496,0.04435483870967742,0.02217741935483871
Harding Elementary,0,2012-13,11,3,458,0.024017467248908297,0.006550218340611353
Harding Elementary,0,2013-14,10,4,330,0.030303030303030304,0.012121212121212121
Harding Elementary,0,2014-15,19,10,451,0.04212860310421286,0.022172949002217297
Harding Elementary,0,2015-16,12,5,280,0.04285714285714286,0.017857142857142856
Harding Elementary,0,2016-17,11,5,282,0.03900709219858156,0.01773049645390071
Highland Elementary,0,2011-12,24,12,639,0.03755868544600939,0.018779342723004695
Highland Elementary,0,2012-13,31,16,683,0.04538799414348463,0.02342606149341142
Highland Elementary,0,2013-14,28,14,481,0.058212058212058215,0.029106029106029108
Highland Elementary,0,2014-15,32,19,550,0.05818181818181818,0.034545454545454546
Highland Elementary,0,2015-16,14,6,286,0.04895104895104895,0.02097902097902098
Highland Elementary,0,2016-17,14,7,345,0.04057971014492753,0.020289855072463767
Hillcrest School,1,2016-17,8,1,194,0.041237113402061855,0.005154639175257732
Hillcrest School (K-8),1,2011-12,9,7,352,0.02556818181818182,0.019886363636363636
Hillcrest School (K-8),1,2012-13,12,10,362,0.03314917127071823,0.027624309392265192
Hillcrest School (K-8),1,2013-14,9,5,226,0.03982300884955752,0.022123893805309734
Hillcrest School (K-8),1,2014-15,9,9,351,0.02564102564102564,0.02564102564102564
Hillcrest School (K-8),1,2015-16,8,8,169,0.047337278106508875,0.047337278106508875
Hillside Academy,1,2011-12,0,0,1,0,0
Hoover Elementary,1,2011-12,41,17,422,0.0971563981042654,0.04028436018957346
Hoover Elementary,1,2012-13,35,10,394,0.08883248730964467,0.025380710659898477
Hoover Elementary,1,2013-14,14,5,269,0.05204460966542751,0.01858736059479554
Hoover Elementary,1,2014-15,32,16,391,0.08184143222506395,0.04092071611253197
Hoover Elementary,1,2015-16,17,8,187,0.09090909090909091,0.0427807486631016
Hoover Elementary,1,2016-17,18,9,210,0.08571428571428572,0.04285714285714286
Horace Mann Elementary,1,2011-12,20,5,413,0.048426150121065374,0.012106537530266344
Horace Mann Elementary,1,2012-13,23,8,483,0.047619047619047616,0.016563146997929608
Horace Mann Elementary,1,2013-14,21,11,329,0.06382978723404255,0.03343465045592705
Horace Mann Elementary,1,2014-15,28,7,475,0.05894736842105263,0.014736842105263158
Horace Mann Elementary,1,2015-16,19,8,278,0.0683453237410072,0.02877697841726619
Horace Mann Elementary,1,2016-17,18,10,255,0.07058823529411765,0.0392156862745098
Howard Elementary,1,2011-12,25,12,269,0.09293680297397769,0.04460966542750929
Howard Elementary,1,2012-13,16,10,280,0.05714285714285714,0.03571428571428571
Howard Elementary,1,2013-14,9,5,162,0.05555555555555555,0.030864197530864196
Howard Elementary,1,2014-15,25,12,300,0.08333333333333333,0.04
Howard Elementary,1,2015-16,17,8,139,0.1223021582733813,0.05755395683453238
Howard Elementary,1,2016-17,7,6,130,0.05384615384615385,0.046153846153846156
International Community School,1,2011-12,9,7,464,0.01939655172413793,0.015086206896551725
