school,dist.n,schoolyr,vaccination_coverage
Murphy Elementary,0,2016-17,0.5149253731343292
Sheldon Elementary,0,2016-17,0.5169491525423732
Dover Elementary,0,2016-17,0.5211267605633811
Montalvin Elementary,0,2016-17,0.5224719101123613
Lake Elementary,0,2016-17,0.5242718446601938
Nystrom Elementary,0,2016-17,0.5495495495495495
Grant Elementary,0,2016-17,0.549668874172185
Tara Hills Elementary,0,2016-17,0.5611814345991556
Ford Elementary,0,2016-17,0.5624999999999991
Coronado Elementary,0,2016-17,0.5680473372781059
Verde Elementary,0,2016-17,0.5735294117647057
Highland Elementary,0,2016-17,0.5760869565217385
Lupine Hills Elementary,0,2016-17,0.5782312925170058
Olinda Elementary,0,2016-17,0.594339622641509
Washington Elementary,0,2016-17,0.5968586387434566
Ohlone Elementary,0,2016-17,0.5990783410138243
Shannon Elementary,0,2016-17,0.6194690265486712
King Elementary,0,2016-17,0.6202531645569616
Fairmont Elementary,0,2016-17,0.6348122866894178
Collins Elementary,0,2016-17,0.7318840579710157
Grass Valley Elementary,1,2017-18,0.35999999999999993
Carl Munck Elementary,1,2017-18,0.4200000000000002
Reach Academy,1,2017-18,0.43181818181818155
East Oakland PRIDE Elementary,1,2017-18,0.5378151260504209
Emerson Elementary,1,2017-18,0.5481481481481472
Laurel Elementary,1,2017-18,0.5492957746478891
EnCompass Academy,1,2017-18,0.5555555555555556
Burckhalter Elementary,1,2017-18,0.6086956521739133
Allendale Elementary,1,2017-18,0.625
Horace Mann Elementary,1,2017-18,0.6304347826086959
Think College Now,1,2017-18,0.6428571428571419
Fruitvale Elementary,1,2017-18,0.6451612903225817
RISE Community School,1,2017-18,0.6666666666666666
Brookfield Village Elementary,1,2017-18,0.6792452830188672
Markham Elementary,1,2017-18,0.7068965517241385
Franklin Elementary,1,2017-18,0.7215777262180997
Kaiser Elementary,1,2017-18,0.7247706422018344
Garfield Elementary,1,2017-18,0.7278106508875725
Community United Elementary School,1,2017-18,0.7321428571428585
Joaquin Miller Elementary,1,2017-18,0.7333333333333331
Bella Vista Elementary,1,2017-18,0.764044943820225
Riverside Elementary,0,2017-18,0.41517857142857195
Lake Elementary,0,2017-18,0.44444444444444403
Tara Hills Elementary,0,2017-18,0.475095785440614
Verde Elementary,0,2017-18,0.4812499999999991
Coronado Elementary,0,2017-18,0.49999999999999944
Wilson Elementary,0,2017-18,0.5000000000000013
Ford Elementary,0,2017-18,0.5032258064516135
Highland Elementary,0,2017-18,0.5122950819672137
Murphy Elementary,0,2017-18,0.5138121546961315
Sheldon Elementary,0,2017-18,0.5168539325842714
Nystrom Elementary,0,2017-18,0.5390070921985812
Montalvin Elementary,0,2017-18,0.5479452054794514
Collins Elementary,0,2017-18,0.5493827160493818
Olinda Elementary,0,2017-18,0.5494505494505493
Grant Elementary,0,2017-18,0.5618556701030925
Shannon Elementary,0,2017-18,0.5714285714285711
Dover Elementary,0,2017-18,0.5750000000000016
King Elementary,0,2017-18,0.5862068965517241
Lupine Hills Elementary,0,2017-18,0.6011904761904758
Washington Elementary,0,2017-18,0.6132596685082864
Ohlone Elementary,0,2017-18,0.6201923076923065
Fairmont Elementary,0,2017-18,0.6205533596837933
Fred T. Korematsu Discovery Academy,1,2017-18,0.5748031496062999
