school,dist.n,schoolyr,did_absence_rate_all,did_absence_rate_ill
Community United Elementary School,1,2016-17,-0.007577365777397892,0.007371460071399716
Coronado Elementary,0,2014-15,0.0067766970312169925,0.004282120114143723
Coronado Elementary,0,2015-16,0.002387363828324468,0.007070292393841427
Coronado Elementary,0,2016-17,0.005946427348827582,0.003853238453779776
Crocker Highlands Elementary,1,2014-15,0.008064361813869922,0.0014876595065146797
Crocker Highlands Elementary,1,2015-16,0.009556674026083872,0.003970223436064641
Crocker Highlands Elementary,1,2016-17,0.007627221173199309,0.004396201115962634
Dover Elementary,0,2014-15,0.005599945698275072,0.0014396546812400143
Dover Elementary,0,2015-16,0.00667518746334337,9.082776776243237e-4
Dover Elementary,0,2016-17,0.012428165683744496,0.0023268557565795066
Downer Elementary,0,2014-15,0.007283805517753317,-0.0019840466532628463
Downer Elementary,0,2015-16,0.010150602637627695,0.00103011872637266
Downer Elementary,0,2016-17,0.013451358283982931,0.001370858654892379
East Oakland PRIDE Elementary,1,2014-15,0.0016924722726326322,0.004839617565492876
East Oakland PRIDE Elementary,1,2015-16,0.011816924411099952,0.007834812759393631
East Oakland PRIDE Elementary,1,2016-17,0.020557936098323647,0.015243471537719978
Ellerhorst Elementary,0,2014-15,0.011780605171270643,0.012769679812914513
Ellerhorst Elementary,0,2015-16,0.006049499687804369,0.016489443661668803
Ellerhorst Elementary,0,2016-17,0.012643901854373765,0.023555018730212623
Emerson Elementary,1,2014-15,0.010967496837124287,0.008372343727413328
Emerson Elementary,1,2015-16,0.0033216458767657484,0.0010792760892061604
Emerson Elementary,1,2016-17,0.011789681592643174,0.011906889227468853
EnCompass Academy,1,2014-15,0.013383399247883551,0.008709600720561261
EnCompass Academy,1,2015-16,0.009253992633908345,0.0024169548457042764
EnCompass Academy,1,2016-17,0.013085848969706583,0.008904868697761234
Esperanza Elementary,1,2014-15,0.013728610261837151,0.006849843544835969
Esperanza Elementary,1,2015-16,0.00776476253483372,0.008351062152933818
Esperanza Elementary,1,2016-17,0.013666490692154261,0.010059113410487975
Fairmont Elementary,0,2014-15,0.006400542897884151,0.0015537645678693028
Fairmont Elementary,0,2015-16,0.004565751212981389,0.0062741956072148684
Fairmont Elementary,0,2016-17,0.004351627491692059,0.0024778725035669268
Ford Elementary,0,2014-15,0.003836669771982798,0.005926531860024356
Ford Elementary,0,2015-16,0.016390501047803638,0.0019320658834422744
Ford Elementary,0,2016-17,0.014598475802821392,0.011229432540406016
Franklin Elementary,1,2014-15,0.0112198094265362,0.008812038577091215
Franklin Elementary,1,2015-16,0.009360990534676143,0.007087236019723385
Franklin Elementary,1,2016-17,0.011616571839641092,0.008517832543165278
Fred T. Korematsu Discovery Academy,1,2014-15,-0.004077290462145534,-0.004001845021564365
Fred T. Korematsu Discovery Academy,1,2015-16,0.0013989953071209746,0.003403341590674798
Fred T. Korematsu Discovery Academy,1,2016-17,0.01648621099511203,-0.016104022170868457
Fruitvale Elementary,1,2014-15,0.019976218353838636,-0.0024377645177885154
Fruitvale Elementary,1,2015-16,0.019394965298528126,-0.009546142613202128
Fruitvale Elementary,1,2016-17,0.014357384090679125,-0.008697367146883635
Futures Elementary,1,2014-15,0.023431894832680336,0.013403495167477585
Futures Elementary,1,2015-16,0.010517978936939829,0.009680891385871745
Futures Elementary,1,2016-17,0.019609234807065126,0.017901685511047743
Garfield Elementary,1,2014-15,-0.0016712504204518946,0.005877096480322771
Garfield Elementary,1,2015-16,-0.0038292527819551586,0.0040794814193901244
Garfield Elementary,1,2016-17,0.0038063240504310272,0.008641309965894838
Glenview Elementary,1,2014-15,0.0095585617394324009,0.008945650477804993
