school,dist.n,period,absences_all,absences_ill,student_days,absence_rate_all,absence_rate_ill
Fred T. Korematsu Discovery Academy,1,1,3456,3111,74258,0.046540440087263324,0.04189447601605214
Fred T. Korematsu Discovery Academy,1,2,3074,1486,43072,0.0713688707280832,0.03450037147102526
Fruitvale Elementary,1,0,7425,4912,148924,0.049857645510461714,0.03298326663264484
Fruitvale Elementary,1,1,4642,1888,66645,0.0696526371070598,0.028329206992272492
Fruitvale Elementary,1,2,3046,952,43463,0.07008259899224628,0.02190368819455629
Futures Elementary,1,0,7175,2732,108958,0.06585106187705354,0.025073881679179132
Futures Elementary,1,1,4805,2103,56348,0.08527365656278839,0.037321644068999786
Futures Elementary,1,2,3020,1303,35289,0.0855790756326334,0.03692368726798719
Garfield Elementary,1,0,7455,1800,186445,0.03998498216632251,0.009654321649816297
Garfield Elementary,1,1,3853,1531,102451,0.03760822246732584,0.014943729197372404
Garfield Elementary,1,2,3425,1407,72697,0.047113360936489816,0.019354306229968223
Glenview Elementary,1,0,4357,3196,151173,0.028821284224034717,0.02114134137709776
Glenview Elementary,1,1,3175,2565,78802,0.04029085556204157,0.03254993528083044
Glenview Elementary,1,2,2238,1848,51032,0.043854836181219624,0.0362125725035272
Global Family School,1,0,4772,3013,129212,0.036931554344797696,0.02331826765315915
Global Family School,1,1,2992,1967,75367,0.039699072538378864,0.026098955776400812
Global Family School,1,2,2227,1535,52515,0.04240693135294678,0.029229743882700183
Grant Elementary,0,0,10634,4112,173440,0.061312269372693726,0.02370848708487085
Grant Elementary,0,1,5855,2607,86063,0.06803155827707609,0.03029176301081766
Grant Elementary,0,2,4207,2508,52585,0.08000380336597888,0.047694209375297135
Grass Valley Elementary,1,0,3644,2202,83945,0.04340937518613378,0.026231461075704322
Grass Valley Elementary,1,1,2436,1969,50059,0.04866257815777383,0.039333586368085656
Grass Valley Elementary,1,2,1597,1193,31019,0.0514845739707921,0.03846029852670944
Hanna Ranch Elementary,0,0,5974,4132,156814,0.0380960883594577,0.026349688165597455
Hanna Ranch Elementary,0,1,3222,2774,81672,0.03945048486629445,0.03396512880791459
Hanna Ranch Elementary,0,2,2420,2128,56883,0.04254346641351546,0.03741012253221525
Harding Elementary,0,0,4306,2252,99653,0.043209938486548326,0.0225984165052733
Harding Elementary,0,1,2401,1546,54707,0.04388835066810463,0.02825963770632643
Harding Elementary,0,2,2280,1579,44964,0.05070723245262877,0.03511698247486878
Highland Elementary,0,0,7725,3844,143002,0.05402022349337771,0.026880742926672356
Highland Elementary,0,1,4015,2408,73588,0.05456052617274556,0.0327227265314997
Highland Elementary,0,2,2939,1866,49936,0.05885533482858058,0.037367830823454025
