long,lat,order,hole,piece,group,id,absentee_alias,dist.n
-122.34738323,37.9711083,53,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34772323,37.97085497,54,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34850323,37.96956497,55,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34940416,37.97028233,56,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34990323,37.97016497,57,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.35030424,37.97058497,58,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.35213323,37.97113497,59,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.35292323,37.97151496,60,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.35363323,37.97214497,61,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.35495573,37.97222767,62,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.35363463,37.97706741,63,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.35337323,37.97802497,64,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.35317323,37.97873497,65,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.35299323,37.97940497,66,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.35268823,37.98014997,67,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.35182323,37.98067497,68,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.35072323,37.98132497,69,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.35028323,37.98154497,70,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34983323,37.98170497,71,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34949323,37.98179497,72,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34908323,37.98186497,73,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34869323,37.98190497,74,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34832323,37.98190497,75,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34788323,37.98190497,76,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34644323,37.98189497,77,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34609323,37.98189497,78,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34565823,37.98189997,79,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34534323,37.98192497,80,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34503323,37.98195997,81,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34463823,37.98203997,82,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34425323,37.98214997,83,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34387323,37.98228997,84,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34359323,37.98241497,85,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34332823,37.98255497,86,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34308323,37.98271497,87,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
