school,dist.n,schoolyr,absences_all,absences_ill,student_days,absence_rate_all,absence_rate_ill
Verde Elementary,0,2016-17,98,20,1465,0.06689419795221843,0.013651877133105802
Verde Elementary,0,2017-18,144,86,1290,0.11162790697674418,0.06666666666666667
Washington Elementary,0,2011-12,131,40,2005,0.06533665835411472,0.0199501246882793
Washington Elementary,0,2012-13,133,79,1744,0.07626146788990826,0.04529816513761468
Washington Elementary,0,2013-14,27,14,438,0.06164383561643835,0.0319634703196347
Washington Elementary,0,2014-15,172,108,2145,0.08018648018648018,0.05034965034965035
Washington Elementary,0,2015-16,66,38,1215,0.05432098765432099,0.031275720164609055
Washington Elementary,0,2016-17,191,120,2090,0.09138755980861243,0.05741626794258373
Washington Elementary,0,2017-18,167,114,1995,0.0837092731829574,0.05714285714285714
Wilson Elementary,0,2011-12,137,47,2550,0.05372549019607843,0.01843137254901961
Wilson Elementary,0,2012-13,109,72,1952,0.05584016393442623,0.036885245901639344
Wilson Elementary,0,2013-14,31,8,453,0.0684326710816777,0.017660044150110375
Wilson Elementary,0,2014-15,129,78,2265,0.05695364238410596,0.03443708609271523
Wilson Elementary,0,2015-16,64,44,1284,0.04984423676012461,0.03426791277258567
Wilson Elementary,0,2016-17,142,83,2050,0.06926829268292684,0.04048780487804878
Wilson Elementary,0,2017-18,159,98,1585,0.10031545741324921,0.061829652996845424
